hour_index,datetime,predicted_price,buy_mwh
0,2018-12-24 23:00:00,68.11519,0.0
1,2018-12-25 00:00:00,64.93285,0.0
2,2018-12-25 01:00:00,64.76687,0.0
3,2018-12-25 02:00:00,63.409748,0.0
4,2018-12-25 03:00:00,61.600086,0.0
5,2018-12-25 04:00:00,64.3193,0.0
6,2018-12-25 05:00:00,67.10585,0.0
7,2018-12-25 06:00:00,67.92356,0.0
8,2018-12-25 07:00:00,67.110596,0.0
9,2018-12-25 08:00:00,65.18874,0.0
10,2018-12-25 09:00:00,69.58738,0.0
11,2018-12-25 10:00:00,69.05242,0.0
12,2018-12-25 11:00:00,70.95593,0.0
13,2018-12-25 12:00:00,69.48187,0.0
14,2018-12-25 13:00:00,70.29558,0.0
15,2018-12-25 14:00:00,70.257065,0.0
16,2018-12-25 15:00:00,69.35497,0.0
17,2018-12-25 16:00:00,72.12838,0.0
18,2018-12-25 17:00:00,73.88586,0.0
19,2018-12-25 18:00:00,72.735916,0.0
20,2018-12-25 19:00:00,71.51776,0.0
21,2018-12-25 20:00:00,69.510605,0.0
22,2018-12-25 21:00:00,69.27734,0.0
23,2018-12-25 22:00:00,68.941574,0.0
24,2018-12-25 23:00:00,65.68372,0.0
25,2018-12-26 00:00:00,61.049076,0.0
26,2018-12-26 01:00:00,57.06989,0.0
27,2018-12-26 02:00:00,55.82127,10.0
28,2018-12-26 03:00:00,54.50283,10.0
29,2018-12-26 04:00:00,57.94799,0.0
30,2018-12-26 05:00:00,61.539288,0.0
31,2018-12-26 06:00:00,66.308365,0.0
32,2018-12-26 07:00:00,67.68574,0.0
33,2018-12-26 08:00:00,70.4586,0.0
34,2018-12-26 09:00:00,71.86755,0.0
35,2018-12-26 10:00:00,72.07338,0.0
36,2018-12-26 11:00:00,71.886314,0.0
37,2018-12-26 12:00:00,71.36919,0.0
38,2018-12-26 13:00:00,70.652115,0.0
39,2018-12-26 14:00:00,71.3793,0.0
40,2018-12-26 15:00:00,72.068405,0.0
41,2018-12-26 16:00:00,73.2887,0.0
42,2018-12-26 17:00:00,77.00893,0.0
43,2018-12-26 18:00:00,78.08658,0.0
44,2018-12-26 19:00:00,76.42708,0.0
45,2018-12-26 20:00:00,73.906166,0.0
46,2018-12-26 21:00:00,70.66603,0.0
47,2018-12-26 22:00:00,70.01509,0.0
48,2018-12-26 23:00:00,69.156784,0.0
49,2018-12-27 00:00:00,65.60997,0.0
50,2018-12-27 01:00:00,65.79157,0.0
51,2018-12-27 02:00:00,63.92244,0.0
52,2018-12-27 03:00:00,62.1154,0.0
53,2018-12-27 04:00:00,64.40891,0.0
54,2018-12-27 05:00:00,68.495735,0.0
55,2018-12-27 06:00:00,71.55885,0.0
56,2018-12-27 07:00:00,72.53448,0.0
57,2018-12-27 08:00:00,72.658264,0.0
58,2018-12-27 09:00:00,73.61586,0.0
59,2018-12-27 10:00:00,72.93061,0.0
60,2018-12-27 11:00:00,73.204605,0.0
61,2018-12-27 12:00:00,71.64059,0.0
62,2018-12-27 13:00:00,71.2505,0.0
63,2018-12-27 14:00:00,71.779175,0.0
64,2018-12-27 15:00:00,72.93757,0.0
65,2018-12-27 16:00:00,75.486595,0.0
66,2018-12-27 17:00:00,79.29806,0.0
67,2018-12-27 18:00:00,79.67149,0.0
68,2018-12-27 19:00:00,78.2696,0.0
69,2018-12-27 20:00:00,74.19781,0.0
70,2018-12-27 21:00:00,71.661354,0.0
71,2018-12-27 22:00:00,70.38507,0.0
72,2018-12-27 23:00:00,70.88733,0.0
73,2018-12-28 00:00:00,64.38946,0.0
74,2018-12-28 01:00:00,63.812687,0.0
75,2018-12-28 02:00:00,60.561134,0.0
76,2018-12-28 03:00:00,61.985905,0.0
77,2018-12-28 04:00:00,63.24416,0.0
78,2018-12-28 05:00:00,65.36095,0.0
79,2018-12-28 06:00:00,70.30089,0.0
80,2018-12-28 07:00:00,70.67608,0.0
81,2018-12-28 08:00:00,72.17157,0.0
82,2018-12-28 09:00:00,73.48534,0.0
83,2018-12-28 10:00:00,73.08502,0.0
84,2018-12-28 11:00:00,71.77154,0.0
85,2018-12-28 12:00:00,71.094986,0.0
86,2018-12-28 13:00:00,69.474815,0.0
87,2018-12-28 14:00:00,70.391,0.0
88,2018-12-28 15:00:00,69.957985,0.0
89,2018-12-28 16:00:00,74.43015,0.0
90,2018-12-28 17:00:00,77.243164,0.0
91,2018-12-28 18:00:00,78.391365,0.0
92,2018-12-28 19:00:00,75.557556,0.0
93,2018-12-28 20:00:00,71.08686,0.0
94,2018-12-28 21:00:00,65.88129,0.0
95,2018-12-28 22:00:00,65.39657,0.0
96,2018-12-28 23:00:00,61.676567,0.0
97,2018-12-29 00:00:00,59.37754,0.0
98,2018-12-29 01:00:00,56.36637,0.0
99,2018-12-29 02:00:00,54.45656,10.0
100,2018-12-29 03:00:00,53.89379,10.0
101,2018-12-29 04:00:00,54.938118,10.0
102,2018-12-29 05:00:00,55.72086,10.0
103,2018-12-29 06:00:00,58.32131,0.0
104,2018-12-29 07:00:00,59.594193,0.0
105,2018-12-29 08:00:00,61.778713,0.0
106,2018-12-29 09:00:00,67.01222,0.0
107,2018-12-29 10:00:00,66.380974,0.0
108,2018-12-29 11:00:00,64.804985,0.0
109,2018-12-29 12:00:00,63.047913,0.0
110,2018-12-29 13:00:00,61.107662,0.0
111,2018-12-29 14:00:00,59.694157,0.0
112,2018-12-29 15:00:00,60.469593,0.0
113,2018-12-29 16:00:00,64.024086,0.0
114,2018-12-29 17:00:00,69.797104,0.0
115,2018-12-29 18:00:00,71.36191,0.0
116,2018-12-29 19:00:00,70.76517,0.0
117,2018-12-29 20:00:00,66.55337,0.0
118,2018-12-29 21:00:00,64.26233,0.0
119,2018-12-29 22:00:00,62.515663,0.0
120,2018-12-29 23:00:00,62.482063,0.0
121,2018-12-30 00:00:00,62.115562,0.0
122,2018-12-30 01:00:00,54.92866,10.0
123,2018-12-30 02:00:00,54.40943,10.0
124,2018-12-30 03:00:00,53.805134,10.0
125,2018-12-30 04:00:00,54.803627,10.0
126,2018-12-30 05:00:00,55.964123,0.0
127,2018-12-30 06:00:00,58.202732,0.0
128,2018-12-30 07:00:00,58.743343,0.0
129,2018-12-30 08:00:00,60.336292,0.0
130,2018-12-30 09:00:00,63.490875,0.0
131,2018-12-30 10:00:00,65.25961,0.0
132,2018-12-30 11:00:00,65.880165,0.0
133,2018-12-30 12:00:00,66.22881,0.0
134,2018-12-30 13:00:00,67.176155,0.0
135,2018-12-30 14:00:00,68.32012,0.0
136,2018-12-30 15:00:00,67.433815,0.0
137,2018-12-30 16:00:00,68.90276,0.0
138,2018-12-30 17:00:00,73.24626,0.0
139,2018-12-30 18:00:00,73.217865,0.0
140,2018-12-30 19:00:00,73.11342,0.0
141,2018-12-30 20:00:00,72.44121,0.0
142,2018-12-30 21:00:00,69.545784,0.0
143,2018-12-30 22:00:00,68.00867,0.0
144,2018-12-30 23:00:00,65.45924,0.0
145,2018-12-31 00:00:00,62.162403,0.0
146,2018-12-31 01:00:00,57.287907,0.0
147,2018-12-31 02:00:00,56.36386,0.0
148,2018-12-31 03:00:00,57.946236,0.0
149,2018-12-31 04:00:00,60.275276,0.0
150,2018-12-31 05:00:00,63.432156,0.0
151,2018-12-31 06:00:00,68.06256,0.0
152,2018-12-31 07:00:00,65.121925,0.0
153,2018-12-31 08:00:00,68.83651,0.0
154,2018-12-31 09:00:00,71.82751,0.0
155,2018-12-31 10:00:00,71.794464,0.0
156,2018-12-31 11:00:00,71.31326,0.0
157,2018-12-31 12:00:00,71.13899,0.0
158,2018-12-31 13:00:00,70.630486,0.0
159,2018-12-31 14:00:00,71.69901,0.0
160,2018-12-31 15:00:00,72.06642,0.0
161,2018-12-31 16:00:00,74.48424,0.0
162,2018-12-31 17:00:00,78.36098,0.0
163,2018-12-31 18:00:00,77.53802,0.0
164,2018-12-31 19:00:00,76.44854,0.0
165,2018-12-31 20:00:00,73.77964,0.0
166,2018-12-31 21:00:00,69.997314,0.0
167,2018-12-31 22:00:00,67.270645,0.0
